day,month,year,pizza,number
9,4,2019,margherita,4
9,4,2019,margherita,5
9,4,2019,margherita,4
9,4,2019,margherita,5
9,4,2019,margherita,4
9,4,2019,margherita,5
9,4,2019,hawaiian,2
9,4,2019,meat lovers,4
9,4,2019,hawaiian,5
9,4,2019,vegetarian,1
9,4,2019,hawaiian,4
9,4,2019,hawaiian,3
10,4,2019,hawaiian,4
10,4,2019,vegetarian,3
10,4,2019,meat lovers,1
10,4,2019,meat lovers,3
10,4,2019,margherita,3
10,4,2019,margherita,5
10,4,2019,margherita,1
10,4,2019,vegetarian,4
11,4,2019,vegetarian,2
11,4,2019,hawaiian,2
11,4,2019,vegetarian,3
11,4,2019,vegetarian,4
11,4,2019,meat lovers,4
11,4,2019,meat lovers,2
11,4,2019,vegetarian,3
11,4,2019,hawaiian,1
11,4,2019,vegetarian,3
11,4,2019,meat lovers,4
11,4,2019,hawaiian,3
11,4,2019,margherita,5
11,4,2019,margherita,5
11,4,2019,margherita,2
11,4,2019,margherita,2
11,4,2019,margherita,1
11,4,2019,margherita,3
11,4,2019,four cheese,2
11,4,2019,meat lovers,1
11,4,2019,hawaiian,2
11,4,2019,vegetarian,4
12,4,2019,vegetarian,4
12,4,2019,four cheese,2
12,4,2019,meat lovers,5
12,4,2019,meat lovers,1
12,4,2019,meat lovers,5
12,4,2019,hawaiian,1
12,4,2019,four cheese,4
12,4,2019,vegetarian,5
12,4,2019,four cheese,4
12,4,2019,margherita,4
12,4,2019,margherita,4
12,4,2019,margherita,3
13,4,2019,margherita,3
13,4,2019,four cheese,4
13,4,2019,meat lovers,4
13,4,2019,hawaiian,2
13,4,2019,vegetarian,3
13,4,2019,meat lovers,1
13,4,2019,margherita,4
13,4,2019,margherita,2
13,4,2019,margherita,2
