day,month,year,pizza,number
24,10,2021,meat lovers,2
24,10,2021,margherita,4
24,10,2021,meat lovers,4
24,10,2021,vegetarian,2
24,10,2021,margherita,4
24,10,2021,hawaiian,3
24,10,2021,vegetarian,1
24,10,2021,meat lovers,5
24,10,2021,margherita,2
24,10,2021,margherita,3
24,10,2021,vegetarian,1
24,10,2021,hawaiian,5
25,10,2021,vegetarian,2
25,10,2021,margherita,5
25,10,2021,margherita,5
25,10,2021,vegetarian,2
25,10,2021,margherita,1
25,10,2021,hawaiian,5
25,10,2021,margherita,4
25,10,2021,margherita,3
26,10,2021,margherita,1
26,10,2021,meat lovers,1
26,10,2021,meat lovers,1
26,10,2021,hawaiian,4
26,10,2021,meat lovers,3
26,10,2021,margherita,4
26,10,2021,margherita,3
26,10,2021,margherita,2
26,10,2021,meat lovers,4
26,10,2021,vegetarian,4
26,10,2021,vegetarian,5
26,10,2021,vegetarian,4
26,10,2021,margherita,1
26,10,2021,margherita,2
26,10,2021,meat lovers,5
26,10,2021,meat lovers,4
26,10,2021,margherita,1
26,10,2021,vegetarian,5
26,10,2021,vegetarian,5
26,10,2021,vegetarian,4
26,10,2021,meat lovers,4
27,10,2021,vegetarian,5
27,10,2021,vegetarian,4
27,10,2021,four cheese,4
27,10,2021,vegetarian,3
27,10,2021,margherita,4
27,10,2021,vegetarian,3
27,10,2021,meat lovers,1
27,10,2021,meat lovers,4
27,10,2021,meat lovers,4
27,10,2021,margherita,4
27,10,2021,vegetarian,3
27,10,2021,meat lovers,5
28,10,2021,hawaiian,4
28,10,2021,vegetarian,4
28,10,2021,margherita,5
28,10,2021,hawaiian,2
28,10,2021,meat lovers,3
28,10,2021,meat lovers,1
28,10,2021,margherita,3
28,10,2021,margherita,2
28,10,2021,hawaiian,3
29,10,2021,vegetarian,4
29,10,2021,meat lovers,4
29,10,2021,four cheese,1
29,10,2021,meat lovers,2
29,10,2021,vegetarian,1
29,10,2021,hawaiian,4
29,10,2021,margherita,4
29,10,2021,vegetarian,3
29,10,2021,margherita,3
29,10,2021,meat lovers,5
29,10,2021,four cheese,3
29,10,2021,margherita,2
29,10,2021,margherita,3
30,10,2021,hawaiian,1
30,10,2021,four cheese,2
30,10,2021,hawaiian,1
30,10,2021,hawaiian,4
30,10,2021,hawaiian,2
30,10,2021,vegetarian,3
30,10,2021,four cheese,2
30,10,2021,margherita,4
30,10,2021,vegetarian,3
30,10,2021,meat lovers,4
30,10,2021,margherita,1
30,10,2021,four cheese,5
30,10,2021,margherita,1
30,10,2021,four cheese,3
30,10,2021,margherita,1
30,10,2021,margherita,5
30,10,2021,meat lovers,2
30,10,2021,hawaiian,4
30,10,2021,margherita,4
30,10,2021,four cheese,5
30,10,2021,hawaiian,4
31,10,2021,margherita,1
31,10,2021,margherita,1
31,10,2021,margherita,3
31,10,2021,meat lovers,5
31,10,2021,four cheese,1
31,10,2021,margherita,2
31,10,2021,margherita,5
31,10,2021,margherita,2
31,10,2021,vegetarian,2
31,10,2021,margherita,5
31,10,2021,four cheese,4
31,10,2021,meat lovers,1
31,10,2021,margherita,3
31,10,2021,hawaiian,4
31,10,2021,hawaiian,2
31,10,2021,margherita,1
31,10,2021,hawaiian,3
31,10,2021,vegetarian,3
31,10,2021,hawaiian,3
31,10,2021,hawaiian,5
31,10,2021,margherita,5
31,10,2021,margherita,5
31,10,2021,margherita,4
31,10,2021,margherita,2
31,10,2021,vegetarian,4
31,10,2021,margherita,5
31,10,2021,meat lovers,2
31,10,2021,margherita,2
31,10,2021,hawaiian,4
31,10,2021,margherita,4
31,10,2021,hawaiian,4
31,10,2021,vegetarian,4
31,10,2021,meat lovers,4
31,10,2021,vegetarian,2
31,10,2021,meat lovers,3
