day,month,year,pizza,number
1,1,2022,margherita,1
1,1,2022,margherita,1
1,1,2022,hawaiian,2
1,1,2022,hawaiian,1
1,1,2022,vegetarian,3
1,1,2022,vegetarian,1
1,1,2022,vegetarian,1
1,1,2022,vegetarian,1
1,1,2022,vegetarian,4
1,1,2022,vegetarian,1
1,1,2022,vegetarian,1
1,1,2022,vegetarian,1
1,1,2022,vegetarian,2
2,1,2022,vegetarian,1
2,1,2022,vegetarian,1
2,1,2022,four cheese,1
2,1,2022,meat lovers,1
2,1,2022,margherita,2
2,1,2022,margherita,1
2,1,2022,margherita,1
2,1,2022,meat lovers,2
2,1,2022,meat lovers,2
3,1,2022,meat lovers,1
3,1,2022,vegetarian,2
3,1,2022,vegetarian,1
3,1,2022,vegetarian,1
3,1,2022,vegetarian,4
4,1,2022,vegetarian,1
4,1,2022,vegetarian,3
4,1,2022,vegetarian,1
4,1,2022,four cheese,1
4,1,2022,four cheese,2
4,1,2022,four cheese,1
4,1,2022,vegetarian,1
4,1,2022,vegetarian,1
4,1,2022,vegetarian,3
4,1,2022,four cheese,1
4,1,2022,four cheese,2
4,1,2022,four cheese,2
4,1,2022,four cheese,1
4,1,2022,hawaiian,1
4,1,2022,hawaiian,1
4,1,2022,hawaiian,3
4,1,2022,hawaiian,1
4,1,2022,hawaiian,1
4,1,2022,vegetarian,4
4,1,2022,vegetarian,1
4,1,2022,vegetarian,1
4,1,2022,meat lovers,2
5,1,2022,meat lovers,1
5,1,2022,meat lovers,1
5,1,2022,meat lovers,3
5,1,2022,meat lovers,1
5,1,2022,meat lovers,1
6,1,2022,hawaiian,1
6,1,2022,hawaiian,1
6,1,2022,hawaiian,1
6,1,2022,hawaiian,2
6,1,2022,hawaiian,1
7,1,2022,vegetarian,1
7,1,2022,vegetarian,1
7,1,2022,vegetarian,2
