day,month,year,pizza,number
9,4,2022,margherita,5
9,4,2022,margherita,1
9,4,2022,margherita,4
9,4,2022,margherita,2
9,4,2022,margherita,2
9,4,2022,margherita,3
9,4,2022,hawaiian,4
9,4,2022,meat lovers,4
9,4,2022,hawaiian,2
9,4,2022,vegetarian,3
9,4,2022,hawaiian,1
9,4,2022,hawaiian,3
10,4,2022,hawaiian,4
10,4,2022,vegetarian,3
10,4,2022,meat lovers,5
10,4,2022,meat lovers,5
10,4,2022,margherita,2
10,4,2022,margherita,2
10,4,2022,margherita,1
10,4,2022,vegetarian,3
11,4,2022,vegetarian,2
11,4,2022,hawaiian,1
11,4,2022,vegetarian,2
11,4,2022,vegetarian,4
11,4,2022,meat lovers,4
11,4,2022,meat lovers,2
11,4,2022,vegetarian,5
11,4,2022,hawaiian,1
11,4,2022,vegetarian,5
11,4,2022,meat lovers,1
11,4,2022,hawaiian,4
11,4,2022,margherita,5
11,4,2022,margherita,4
11,4,2022,margherita,4
11,4,2022,margherita,4
11,4,2022,margherita,4
11,4,2022,margherita,5
11,4,2022,four cheese,4
11,4,2022,meat lovers,5
11,4,2022,hawaiian,4
11,4,2022,vegetarian,5
12,4,2022,vegetarian,2
12,4,2022,four cheese,4
12,4,2022,meat lovers,5
12,4,2022,meat lovers,1
12,4,2022,meat lovers,4
12,4,2022,hawaiian,3
12,4,2022,four cheese,4
12,4,2022,vegetarian,3
12,4,2022,four cheese,1
12,4,2022,margherita,3
12,4,2022,margherita,3
12,4,2022,margherita,3
13,4,2022,margherita,3
13,4,2022,four cheese,4
13,4,2022,meat lovers,4
13,4,2022,hawaiian,2
13,4,2022,vegetarian,3
13,4,2022,meat lovers,1
13,4,2022,margherita,4
13,4,2022,margherita,2
13,4,2022,margherita,2
