day,month,year,pizza,number
5,8,2022,margherita,3
5,8,2022,mediterranean,4
5,8,2022,mediterranean,4
5,8,2022,mediterranean,6
5,8,2022,margherita,3
5,8,2022,margherita,1
5,8,2022,margherita,2
5,8,2022,margherita,6
5,8,2022,hawaiian,2
5,8,2022,meat lovers,3
5,8,2022,mediterranean,3
5,8,2022,vegetarian,2
5,8,2022,hawaiian,5
5,8,2022,meat lovers,3
5,8,2022,mediterranean,3
5,8,2022,vegetarian,5
5,8,2022,mediterranean,2
6,8,2022,hawaiian,1
6,8,2022,vegetarian,1
6,8,2022,hawaiian,5
6,8,2022,vegetarian,2
6,8,2022,mediterranean,2
6,8,2022,mediterranean,3
6,8,2022,meat lovers,2
6,8,2022,meat lovers,4
6,8,2022,margherita,5
6,8,2022,margherita,6
6,8,2022,margherita,2
6,8,2022,vegetarian,4
7,8,2022,vegetarian,2
7,8,2022,mediterranean,3
7,8,2022,mediterranean,3
7,8,2022,mediterranean,2
7,8,2022,mediterranean,3
7,8,2022,vegetarian,3
7,8,2022,meat lovers,4
7,8,2022,meat lovers,6
7,8,2022,meat lovers,1
7,8,2022,meat lovers,2
7,8,2022,vegetarian,3
7,8,2022,hawaiian,1
7,8,2022,vegetarian,3
7,8,2022,meat lovers,8
7,8,2022,meat lovers,2
7,8,2022,vegetarian,4
7,8,2022,hawaiian,2
7,8,2022,hawaiian,3
7,8,2022,margherita,5
7,8,2022,margherita,5
7,8,2022,mediterranean,2
7,8,2022,margherita,3
7,8,2022,mediterranean,5
7,8,2022,margherita,1
7,8,2022,four cheese,3
7,8,2022,meat lovers,1
7,8,2022,mediterranean,2
8,8,2022,meat lovers,1
8,8,2022,meat lovers,3
8,8,2022,hawaiian,4
8,8,2022,four cheese,2
8,8,2022,vegetarian,1
8,8,2022,four cheese,3
8,8,2022,margherita,2
8,8,2022,margherita,2
8,8,2022,margherita,5
8,8,2022,mediterranean,3
8,8,2022,margherita,4
8,8,2022,margherita,3
8,8,2022,mediterranean,3
9,8,2022,four cheese,4
9,8,2022,meat lovers,4
9,8,2022,hawaiian,2
9,8,2022,vegetarian,3
9,8,2022,meat lovers,1
9,8,2022,mediterranean,3
9,8,2022,margherita,2
9,8,2022,margherita,7
9,8,2022,hawaiian,2
9,8,2022,vegetarian,2
9,8,2022,meat lovers,3
9,8,2022,mediterranean,4
9,8,2022,margherita,5
9,8,2022,margherita,7
