day,month,year,pizza,number
9,10,2022,margherita,4
9,10,2022,margherita,6
9,10,2022,margherita,7
9,10,2022,margherita,3
9,10,2022,margherita,12
9,10,2022,margherita,43
9,10,2022,hawaiian,5
9,10,2022,meat lovers,1
9,10,2022,hawaiian,65
9,10,2022,vegetarian,34
9,10,2022,hawaiian,24
9,10,2022,hawaiian,98
10,10,2022,hawaiian,5
10,10,2022,vegetarian,34
10,10,2022,meat lovers,5
10,10,2022,meat lovers,7
10,10,2022,margherita,9
10,10,2022,margherita,2
10,10,2022,margherita,3
10,10,2022,vegetarian,5
11,10,2022,vegetarian,7
11,10,2022,hawaiian,1
11,10,2022,vegetarian,9
11,10,2022,vegetarian,5
11,10,2022,meat lovers,6
11,10,2022,meat lovers,4
11,10,2022,vegetarian,2
11,10,2022,hawaiian,65
11,10,2022,vegetarian,3
11,10,2022,meat lovers,6
11,10,2022,hawaiian,78
11,10,2022,margherita,34
11,10,2022,margherita,76
11,10,2022,margherita,3
11,10,2022,margherita,3
11,10,2022,margherita,12
11,10,2022,margherita,32
11,10,2022,four cheese,21
11,10,2022,meat lovers,11
11,10,2022,hawaiian,10
11,10,2022,vegetarian,14
12,10,2022,vegetarian,23
12,10,2022,four cheese,4
12,10,2022,meat lovers,76
12,10,2022,meat lovers,74
12,10,2022,meat lovers,45
12,10,2022,hawaiian,33
12,10,2022,four cheese,4
12,10,2022,vegetarian,7
12,10,2022,four cheese,9
12,10,2022,margherita,10
12,10,2022,margherita,21
12,10,2022,margherita,12
13,10,2022,margherita,31
13,10,2022,four cheese,45
13,10,2022,meat lovers,63
13,10,2022,hawaiian,25
13,10,2022,vegetarian,16
13,10,2022,meat lovers,19
13,10,2022,margherita,20
13,10,2022,margherita,45
13,10,2022,margherita,32
