day,month,year,pizza,number
9,5,2025,margherita,4
9,5,2025,margherita,9
9,5,2025,margherita,63
9,5,2025,margherita,11
9,5,2025,margherita,76
9,5,2025,margherita,74
9,5,2025,hawaiian,31
9,5,2025,meat lovers,34
9,5,2025,hawaiian,73
9,5,2025,vegetarian,96
9,5,2025,hawaiian,35
9,5,2025,hawaiian,95
9,5,2025,hawaiian,26
9,5,2025,vegetarian,33
9,5,2025,meat lovers,4
9,5,2025,meat lovers,28
9,5,2025,margherita,90
9,5,2025,margherita,93
9,5,2025,margherita,6
9,5,2025,vegetarian,19
9,5,2025,vegetarian,45
9,5,2025,hawaiian,97
9,5,2025,vegetarian,48
9,5,2025,vegetarian,49
9,5,2025,meat lovers,70
9,5,2025,meat lovers,76
9,5,2025,vegetarian,18
9,5,2025,hawaiian,36
9,5,2025,vegetarian,3
9,5,2025,meat lovers,10
9,5,2025,hawaiian,41
9,5,2025,margherita,25
9,5,2025,margherita,81
9,5,2025,margherita,91
9,5,2025,margherita,32
9,5,2025,margherita,88
9,5,2025,margherita,98
9,5,2025,four cheese,29
9,5,2025,meat lovers,28
9,5,2025,hawaiian,22
9,5,2025,vegetarian,3
9,5,2025,vegetarian,15
9,5,2025,four cheese,92
9,5,2025,meat lovers,75
9,5,2025,meat lovers,46
9,5,2025,meat lovers,77
9,5,2025,hawaiian,34
9,5,2025,four cheese,79
9,5,2025,vegetarian,10
9,5,2025,four cheese,96
9,5,2025,margherita,46
9,5,2025,margherita,56
9,5,2025,margherita,17
9,5,2025,margherita,50
9,5,2025,four cheese,33
9,5,2025,meat lovers,14
9,5,2025,hawaiian,56
9,5,2025,vegetarian,55
9,5,2025,meat lovers,21
9,5,2025,margherita,31
9,5,2025,margherita,23
9,5,2025,margherita,93
