day,month,year,pizza,number
25,10,2021,margherita,7
25,10,2021,margherita,3
25,10,2021,margherita,7
25,10,2021,margherita,3
25,10,2021,margherita,7
25,10,2021,margherita,3
25,10,2021,hawaiian,2
25,10,2021,meat lovers,7
25,10,2021,hawaiian,3
25,10,2021,vegetarian,1
25,10,2021,hawaiian,7
25,10,2021,hawaiian,3
26,10,2021,hawaiian,7
26,10,2021,vegetarian,3
26,10,2021,meat lovers,1
26,10,2021,meat lovers,3
26,10,2021,margherita,3
26,10,2021,margherita,3
26,10,2021,margherita,1
26,10,2021,vegetarian,7
27,10,2021vegetarian,2
27,10,2021hawaiian,2
27,10,2021vegetarian,3
27,10,2021vegetarian,7
27,10,2021meat lovers,7
27,10,2021meat lovers,2
27,10,2021vegetarian,3
27,10,2021hawaiian,1
27,10,2021vegetarian,3
27,10,2021meat lovers,7
27,10,2021hawaiian,3
27,10,2021margherita,3
27,10,2021margherita,3
27,10,2021margherita,2
27,10,2021margherita,2
27,10,2021margherita,1
27,10,2021margherita,3
27,10,2021four cheese,2
27,10,2021meat lovers,1
27,10,2021hawaiian,2
27,10,2021vegetarian,7
28,10,2021,vegetarian,7
28,10,2021,four cheese,2
28,10,2021,meat lovers,3
28,10,2021,meat lovers,1
28,10,2021,meat lovers,3
28,10,2021,hawaiian,1
28,10,2021,four cheese,7
28,10,2021,vegetarian,3
28,10,2021,four cheese,7
28,10,2021,margherita,7
28,10,2021,margherita,7
28,10,2021,margherita,3
29,10,2021,margherita,3
29,10,2021,four cheese,7
29,10,2021,meat lovers,7
29,10,2021,hawaiian,2
29,10,2021,vegetarian,3
29,10,2021,meat lovers,1
29,10,2021,margherita,7
29,10,2021,margherita,2
29,10,2021,margherita,2
